path_to_image_dir,image_size,scale,detection_boxes,box_class,x,y,new_x,new_y,origin,north,rotation,accepted_radius,reference_point,border_area_x,border_area_y,active_zone_x,active_zone_y
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,"[4091.0, 4095.0]",1.7654,"[0.77554774, 0.4407113, 0.7967025, 0.46598062]",1,0.45334596,0.21387488,0.4165558587640969,0.2414088855685345,"[0.54468993, 0.76785219]","[0.54468993, 0.76785219, 0.41402273, 0.59882019]",-0.6580795808790739,0.093153746626882,"[0.5, 0.2]","[2427.072985004686, 2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614, 1810.2735473289595, 1721.1802952202434, 1632.0870431115277, 1570.407099343955, 1522.433809746954, 1515.5804826616682, 1549.8471180880974, 1611.5270618556701, 1673.2070056232424, 1762.3002577319585, 1865.1001640112463, 1947.3400890346766, 2043.2866682286785, 2139.2332474226805, 2235.179826616682, 2331.126405810684, 2392.8063495782567]","[2760.5684161199624, 2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294, 3267.7146204311152, 3233.4479850046864, 3199.181349578257, 3123.7947516401127, 3041.5548266166825, 2945.6082474226805, 2856.5149953139644, 2781.12839737582, 2705.7417994376756, 2671.4751640112463, 2596.0885660731024, 2548.1152764761014, 2520.701968134958, 2493.2886597938145, 2493.2886597938145, 2520.701968134958, 2596.0885660731024]","[2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2228.326499531396, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614]","[2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3144.3547328959703, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,"[4091.0, 4095.0]",1.7654,"[0.7565672, 0.468043, 0.7800724, 0.4916059]",1,0.4798244499999999,0.2316802,0.4483945073362562,0.2393016812402749,"[0.54468993, 0.76785219]","[0.54468993, 0.76785219, 0.41402273, 0.59882019]",-0.6580795808790739,0.064867164431474,"[0.5, 0.2]","[2427.072985004686, 2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614, 1810.2735473289595, 1721.1802952202434, 1632.0870431115277, 1570.407099343955, 1522.433809746954, 1515.5804826616682, 1549.8471180880974, 1611.5270618556701, 1673.2070056232424, 1762.3002577319585, 1865.1001640112463, 1947.3400890346766, 2043.2866682286785, 2139.2332474226805, 2235.179826616682, 2331.126405810684, 2392.8063495782567]","[2760.5684161199624, 2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294, 3267.7146204311152, 3233.4479850046864, 3199.181349578257, 3123.7947516401127, 3041.5548266166825, 2945.6082474226805, 2856.5149953139644, 2781.12839737582, 2705.7417994376756, 2671.4751640112463, 2596.0885660731024, 2548.1152764761014, 2520.701968134958, 2493.2886597938145, 2493.2886597938145, 2520.701968134958, 2596.0885660731024]","[2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2228.326499531396, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614]","[2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3144.3547328959703, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,"[4091.0, 4095.0]",1.7654,"[0.6995727, 0.55803496, 0.7210711, 0.58123845]",1,0.569636705,0.2896780999999999,0.5549225436396275,0.2302587263060372,"[0.54468993, 0.76785219]","[0.54468993, 0.76785219, 0.41402273, 0.59882019]",-0.6580795808790739,0.0627062701610488,"[0.5, 0.2]","[2427.072985004686, 2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614, 1810.2735473289595, 1721.1802952202434, 1632.0870431115277, 1570.407099343955, 1522.433809746954, 1515.5804826616682, 1549.8471180880974, 1611.5270618556701, 1673.2070056232424, 1762.3002577319585, 1865.1001640112463, 1947.3400890346766, 2043.2866682286785, 2139.2332474226805, 2235.179826616682, 2331.126405810684, 2392.8063495782567]","[2760.5684161199624, 2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294, 3267.7146204311152, 3233.4479850046864, 3199.181349578257, 3123.7947516401127, 3041.5548266166825, 2945.6082474226805, 2856.5149953139644, 2781.12839737582, 2705.7417994376756, 2671.4751640112463, 2596.0885660731024, 2548.1152764761014, 2520.701968134958, 2493.2886597938145, 2493.2886597938145, 2520.701968134958, 2596.0885660731024]","[2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2228.326499531396, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614]","[2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3144.3547328959703, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,"[4091.0, 4095.0]",1.7654,"[0.7373849, 0.5131228, 0.7573308, 0.53410876]",1,0.52361578,0.25264215,0.4958611151419297,0.2291033934235004,"[0.54468993, 0.76785219]","[0.54468993, 0.76785219, 0.41402273, 0.59882019]",-0.6580795808790739,0.0293962221489668,"[0.5, 0.2]","[2427.072985004686, 2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614, 1810.2735473289595, 1721.1802952202434, 1632.0870431115277, 1570.407099343955, 1522.433809746954, 1515.5804826616682, 1549.8471180880974, 1611.5270618556701, 1673.2070056232424, 1762.3002577319585, 1865.1001640112463, 1947.3400890346766, 2043.2866682286785, 2139.2332474226805, 2235.179826616682, 2331.126405810684, 2392.8063495782567]","[2760.5684161199624, 2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294, 3267.7146204311152, 3233.4479850046864, 3199.181349578257, 3123.7947516401127, 3041.5548266166825, 2945.6082474226805, 2856.5149953139644, 2781.12839737582, 2705.7417994376756, 2671.4751640112463, 2596.0885660731024, 2548.1152764761014, 2520.701968134958, 2493.2886597938145, 2493.2886597938145, 2520.701968134958, 2596.0885660731024]","[2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2228.326499531396, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614]","[2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3144.3547328959703, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,"[4091.0, 4095.0]",1.7654,"[0.60804766, 0.43059686, 0.62324876, 0.44369784]",1,0.43714735,0.3843517899999999,0.5080034739324403,0.3861918455089321,"[0.54468993, 0.76785219]","[0.54468993, 0.76785219, 0.41402273, 0.59882019]",-0.6580795808790739,0.1863637811620307,"[0.5, 0.2]","[2427.072985004686, 2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614, 1810.2735473289595, 1721.1802952202434, 1632.0870431115277, 1570.407099343955, 1522.433809746954, 1515.5804826616682, 1549.8471180880974, 1611.5270618556701, 1673.2070056232424, 1762.3002577319585, 1865.1001640112463, 1947.3400890346766, 2043.2866682286785, 2139.2332474226805, 2235.179826616682, 2331.126405810684, 2392.8063495782567]","[2760.5684161199624, 2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294, 3267.7146204311152, 3233.4479850046864, 3199.181349578257, 3123.7947516401127, 3041.5548266166825, 2945.6082474226805, 2856.5149953139644, 2781.12839737582, 2705.7417994376756, 2671.4751640112463, 2596.0885660731024, 2548.1152764761014, 2520.701968134958, 2493.2886597938145, 2493.2886597938145, 2520.701968134958, 2596.0885660731024]","[2427.072985004686, 2413.3663308341143, 2358.5397141518274, 2290.006443298969, 2228.326499531396, 2180.353209934395, 2091.2599578256795, 2002.1667057169634, 1906.2201265229614]","[2856.5149953139644, 2952.4615745079664, 3034.7014995313966, 3103.234770384255, 3144.3547328959703, 3164.914714151828, 3199.181349578257, 3240.3013120899723, 3260.8612933458294]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/663 20m_100kV_20kX_0017.jpg,"[4096.0, 4096.0]",1.7654,"[0.37883192, 0.3633058, 0.39980882, 0.38526374]",1,0.37428477,0.61067963,0.5003940087347132,0.2485335351178797,"[0.35218413, 0.34610902]","[0.35218413, 0.34610902, 0.45259918, 0.5385712]",2.660705373394457,0.0485351344277678,"[0.5, 0.2]","[894.1461373677869, 928.4211407149551, 976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1497.3861962779488, 1593.35620565002, 1689.3262150220912, 1785.2962243941624, 1881.2662337662337, 1977.2362431383049, 2066.3512518409425, 2134.9012585352793, 2169.1762618824473, 2155.46626054358, 2121.1912571964117, 2073.206252510376, 2018.366247154907, 1942.9612397911364, 1771.5862230552952, 1675.616213683224, 1579.6462043111528, 1497.3861962779488, 1415.1261882447448, 1319.1561788726735, 1223.1861695006023, 1127.216160128531, 1044.9561520953275, 1038.1011514258935, 1038.1011514258935, 969.5511447315571]","[1849.5275806667555, 1760.412571964118, 1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1431.3725398313022, 1451.9375418396035, 1479.3575445173383, 1499.922546525639, 1520.4875485339398, 1554.7625518811083, 1630.1675592448787, 1719.2825679475163, 1815.2525773195875, 1904.3675860222247, 1986.6275940554287, 2068.887602088633, 2130.5826081135356, 2158.0026107912704, 2158.0026107912704, 2171.7126121301376, 2219.697616816173, 2274.5376221716424, 2301.957624849377, 2281.392622841076, 2274.5376221716424, 2219.697616816173, 2123.727607444102, 2027.7575980720308, 1959.2075913776944]","[976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1442.5461909224796, 1497.3861962779488, 1593.35620565002, 1689.3262150220912]","[1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1417.662538492435, 1431.3725398313022, 1451.9375418396035]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/663 20m_100kV_20kX_0017.jpg,"[4096.0, 4096.0]",1.7654,"[0.44328445, 0.37418428, 0.46524328, 0.39796308]",1,0.38607368,0.5457361350000001,0.5199827929188728,0.3115646026638886,"[0.35218413, 0.34610902]","[0.35218413, 0.34610902, 0.45259918, 0.5385712]",2.660705373394457,0.1133400749090537,"[0.5, 0.2]","[894.1461373677869, 928.4211407149551, 976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1497.3861962779488, 1593.35620565002, 1689.3262150220912, 1785.2962243941624, 1881.2662337662337, 1977.2362431383049, 2066.3512518409425, 2134.9012585352793, 2169.1762618824473, 2155.46626054358, 2121.1912571964117, 2073.206252510376, 2018.366247154907, 1942.9612397911364, 1771.5862230552952, 1675.616213683224, 1579.6462043111528, 1497.3861962779488, 1415.1261882447448, 1319.1561788726735, 1223.1861695006023, 1127.216160128531, 1044.9561520953275, 1038.1011514258935, 1038.1011514258935, 969.5511447315571]","[1849.5275806667555, 1760.412571964118, 1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1431.3725398313022, 1451.9375418396035, 1479.3575445173383, 1499.922546525639, 1520.4875485339398, 1554.7625518811083, 1630.1675592448787, 1719.2825679475163, 1815.2525773195875, 1904.3675860222247, 1986.6275940554287, 2068.887602088633, 2130.5826081135356, 2158.0026107912704, 2158.0026107912704, 2171.7126121301376, 2219.697616816173, 2274.5376221716424, 2301.957624849377, 2281.392622841076, 2274.5376221716424, 2219.697616816173, 2123.727607444102, 2027.7575980720308, 1959.2075913776944]","[976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1442.5461909224796, 1497.3861962779488, 1593.35620565002, 1689.3262150220912]","[1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1417.662538492435, 1431.3725398313022, 1451.9375418396035]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/663 20m_100kV_20kX_0017.jpg,"[4096.0, 4096.0]",1.7654,"[0.422567, 0.3804543, 0.4443468, 0.39966655]",1,0.390060425,0.5665431,0.5068236105048539,0.2949615955145551,"[0.35218413, 0.34610902]","[0.35218413, 0.34610902, 0.45259918, 0.5385712]",2.660705373394457,0.0952064403440855,"[0.5, 0.2]","[894.1461373677869, 928.4211407149551, 976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1497.3861962779488, 1593.35620565002, 1689.3262150220912, 1785.2962243941624, 1881.2662337662337, 1977.2362431383049, 2066.3512518409425, 2134.9012585352793, 2169.1762618824473, 2155.46626054358, 2121.1912571964117, 2073.206252510376, 2018.366247154907, 1942.9612397911364, 1771.5862230552952, 1675.616213683224, 1579.6462043111528, 1497.3861962779488, 1415.1261882447448, 1319.1561788726735, 1223.1861695006023, 1127.216160128531, 1044.9561520953275, 1038.1011514258935, 1038.1011514258935, 969.5511447315571]","[1849.5275806667555, 1760.412571964118, 1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1431.3725398313022, 1451.9375418396035, 1479.3575445173383, 1499.922546525639, 1520.4875485339398, 1554.7625518811083, 1630.1675592448787, 1719.2825679475163, 1815.2525773195875, 1904.3675860222247, 1986.6275940554287, 2068.887602088633, 2130.5826081135356, 2158.0026107912704, 2158.0026107912704, 2171.7126121301376, 2219.697616816173, 2274.5376221716424, 2301.957624849377, 2281.392622841076, 2274.5376221716424, 2219.697616816173, 2123.727607444102, 2027.7575980720308, 1959.2075913776944]","[976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1442.5461909224796, 1497.3861962779488, 1593.35620565002, 1689.3262150220912]","[1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1417.662538492435, 1431.3725398313022, 1451.9375418396035]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/663 20m_100kV_20kX_0017.jpg,"[4096.0, 4096.0]",1.7654,"[0.46460265, 0.35146448, 0.48493505, 0.3741077]",1,0.36278609,0.52523115,0.5501141263453784,0.3189719641238878,"[0.35218413, 0.34610902]","[0.35218413, 0.34610902, 0.45259918, 0.5385712]",2.660705373394457,0.1290959097216336,"[0.5, 0.2]","[894.1461373677869, 928.4211407149551, 976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1497.3861962779488, 1593.35620565002, 1689.3262150220912, 1785.2962243941624, 1881.2662337662337, 1977.2362431383049, 2066.3512518409425, 2134.9012585352793, 2169.1762618824473, 2155.46626054358, 2121.1912571964117, 2073.206252510376, 2018.366247154907, 1942.9612397911364, 1771.5862230552952, 1675.616213683224, 1579.6462043111528, 1497.3861962779488, 1415.1261882447448, 1319.1561788726735, 1223.1861695006023, 1127.216160128531, 1044.9561520953275, 1038.1011514258935, 1038.1011514258935, 969.5511447315571]","[1849.5275806667555, 1760.412571964118, 1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1431.3725398313022, 1451.9375418396035, 1479.3575445173383, 1499.922546525639, 1520.4875485339398, 1554.7625518811083, 1630.1675592448787, 1719.2825679475163, 1815.2525773195875, 1904.3675860222247, 1986.6275940554287, 2068.887602088633, 2130.5826081135356, 2158.0026107912704, 2158.0026107912704, 2171.7126121301376, 2219.697616816173, 2274.5376221716424, 2301.957624849377, 2281.392622841076, 2274.5376221716424, 2219.697616816173, 2123.727607444102, 2027.7575980720308, 1959.2075913776944]","[976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1442.5461909224796, 1497.3861962779488, 1593.35620565002, 1689.3262150220912]","[1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1417.662538492435, 1431.3725398313022, 1451.9375418396035]"
/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/663 20m_100kV_20kX_0017.jpg,"[4096.0, 4096.0]",1.7654,"[0.41541338, 0.41808146, 0.43576008, 0.43781918]",1,0.42795032,0.57441327,0.4695905306661428,0.3055105994800526,"[0.35218413, 0.34610902]","[0.35218413, 0.34610902, 0.45259918, 0.5385712]",2.660705373394457,0.1098053843297626,"[0.5, 0.2]","[894.1461373677869, 928.4211407149551, 976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1497.3861962779488, 1593.35620565002, 1689.3262150220912, 1785.2962243941624, 1881.2662337662337, 1977.2362431383049, 2066.3512518409425, 2134.9012585352793, 2169.1762618824473, 2155.46626054358, 2121.1912571964117, 2073.206252510376, 2018.366247154907, 1942.9612397911364, 1771.5862230552952, 1675.616213683224, 1579.6462043111528, 1497.3861962779488, 1415.1261882447448, 1319.1561788726735, 1223.1861695006023, 1127.216160128531, 1044.9561520953275, 1038.1011514258935, 1038.1011514258935, 969.5511447315571]","[1849.5275806667555, 1760.412571964118, 1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1431.3725398313022, 1451.9375418396035, 1479.3575445173383, 1499.922546525639, 1520.4875485339398, 1554.7625518811083, 1630.1675592448787, 1719.2825679475163, 1815.2525773195875, 1904.3675860222247, 1986.6275940554287, 2068.887602088633, 2130.5826081135356, 2158.0026107912704, 2158.0026107912704, 2171.7126121301376, 2219.697616816173, 2274.5376221716424, 2301.957624849377, 2281.392622841076, 2274.5376221716424, 2219.697616816173, 2123.727607444102, 2027.7575980720308, 1959.2075913776944]","[976.4061454009907, 1024.3911500870263, 1099.7961574507967, 1182.0561654840003, 1271.171174186638, 1367.1411835587091, 1442.5461909224796, 1497.3861962779488, 1593.35620565002, 1689.3262150220912]","[1678.1525639309143, 1595.8925558977103, 1534.1975498728075, 1486.2125451867719, 1451.9375418396035, 1424.5175391618686, 1417.662538492435, 1417.662538492435, 1431.3725398313022, 1451.9375418396035]"
